text,language,sentiment
Menu menu unik. Silahkan didatangi untuk “mencoba” makanan bukan untuk “menikmati”.,id,positive
"Menyenangkan,, menu kental adat jawa,, penuh kenangan,, suasana mewah asli jawa,, berasa jadi ratu Jawa",id,positive
My favorite place to dine in Yogya,en,positive
Not that tasty for local but maybe good for foreigners....quite expensive....,en,neutral
"Overpriced tourist trap. Food was okay, but there is little on the plate so came away hungry. Very disappointed.",en,negative
"Paket lengkap makanan enak terutama garang asam dipadukan dengan es kelengkeng yang segar dan spot keraton yang indah,,, sayang buat dilewatkan",id,positive
"Pengalaman makan yg luar biasa, serasa menjadi anggota kerajaan keraton. 👍🏻",id,positive
"Pengalaman pertama makan malam di dalam keraton Yogyakarta Hadiningrat, pilihan menu hidangan keraton, soal citarasa the best. Suasananya ayem tenang diiringi gamelan mengalun pelan",id,positive
Portrayed as fine dining but the food is nothing special. Most everything is fried- even satay which is normally grilled. We ordered a fish in a traditional curry sauce and that was deep fried too then placed in the sauce…the restaurant has a fancy appearance that makes it seem high quality but unfortunately that does not translate to the food. For the same price you can find food of much higher quality at other locations. We wanted to like it but did not…,en,negative
Rasa masakan enak dan autentik. Pelayanan oke banget. Suasana juara. Kalau ke Jogja mesti coba makan di dalam keraton di sini.,id,positive
Restoran dengan suasana Royal Javanesse...makanannya enak banget..worth it,id,positive
"Restoran sultan, masakan khas jawa enak sekali...",id,positive
Steak Domba nya Wenak tempat nya bersih banyak pilihan wisatawan mancanegara juga ramai bersebelahan dgn kraton Yogya tengah kota Yogya nyaman,id,positive
"Suasa keratonnya bagus, tp kalo makan siang rasanya panas. Makanannya khas keraton",id,positive
"Suasananya tenang dan sejuk. Stafnya ramah, dan makanannya enak sekali! Terima kasih!",id,positive
"Suka banget sm suasana disini, ambil yg semi outdoor paling belakang dekat taman anginnya adem banget. Makanannya enak tp ayam gorengnya terlalu kering. Pilihan menunya banyak, pelayanannya baik",id,positive
Surprise dinner anniversary dirayakan disini dgn atmosfer keraton dan signature dish Raja Jogja yang mungkin ga ditemukan di tempat lain. Paling suka adalah dessert puding telur tape ketan. Perlu reservasi karena suka fully booked,id,positive
Tempat santap yang menyenangkan dari semua aspek,id,positive
"The food is amazing and the waiters are very kind and friendly! The price is good and i recommend to try the soup with shrimps, chips and carrots.. Also the dessert with cacao mousse and creamy. So yummy!",en,positive
The food is excellent ! No msg just the right portion and the staffs are friendly and will recommend accordingly to your taste. A must is the bir its non alcoholic and really good !,en,positive
"The food is so so. I expected much more, it feels a bit as a tourist trap",en,neutral
The food is super tasty—definitely try the Gecok Ganem! The staff are really friendly too. Thanks to the reservation admin for being so nice and helping me with the reservation.,en,positive
The food was good and the service was exceptional. I recommend trying the Bir Djawa. …,en,positive
"The local was clean, spacious and lavish. The food was meticulously prepared and served, evoking a feeling of cleanliness. The dishes tasted delicious. The thematic was well-chosen, all the dishes were supposed to be King’s favourite dishes. And you will feel like him, indeed.",en,positive
"This is the culinary traditionally for Jogja palace's big family, served from generation to generation and now it can be enjoyed by the general public. I came here out of curiosity after seeing the review of chef renatta and chef juna. The restaurant has a palace nuance because it is still in the same complex with the palace. The concept is fine dining. The service was good and friendly, treated like a king's guest. Taste wise it is 7 / 10.",en,positive
"Very unique restaurant in Yogyakarta. Interesting mix of Dutch, Chinese and local cooking techniques. Drinks were very refreshing and the place was very airy and cool.",en,positive
"We loved that place, all the food choices looked amazing, the food was tasty and the service was great.",en,positive
We went back three days in a row! They served us Vegetarian versions of the traditional dishes. They were delicious. And the fun facts about which dish was which royal person's were a cool piece of trivia to remember the dish by.,en,positive
"We were lucky someone recommended this place, because it didn’t show up on Google Maps for us. The setting is lush green, service friendly and the food delicious. A must try when visiting Yogyakarta.",en,positive
Worth it untuk menikmati makanan dan suasana khas kesultanan yogyakarta.,id,positive
"Tempatnya bagus dan rasanya enak sebenernya..tp saya kecewa karena pesanan saya sudah setengah jam lebih belum datang sedangkan pengunjung lain sudah habis. Untuk standard resto dengan harga lumayan mahal dan high class, buat saya mengecewakan 👎👎👎",id,negative
"Very bad experience - the food was tasteless, cold and the waiter made mistake in the order - will not come back and don’t recommend it to anyone!!",en,negative
Excellent meal in a very nice and vintage setting. The menu has more variety than most restaurants.,en,positive
"Affordable and good Java cuisine, impeccable decor and friendly service! Menu has some English translation as well.",en,positive
"Suasananya lumayan dengan ciri khas bangunan tradisional dengan struktur atap joglo. Bisa disewa untuk acara keluarga, pernikahan, dan sejenisnya. Tapi maaf, disini rasa masakannya biasa aja bahkan cenderung hambar.",id,neutral
"This was the worst food I had in the whole Indonesia, tasteless, small portion and looking totally different than in the pictures.",en,negative
"Kemarin reservasi untuk makan siang bareng keluarga. Suasananua enak, vibes di rumah bangsawan kraton 😄 banyak spot bagus untuk berfoto. Untuk masakan2 nya enak dan sangat memuaskan",id,positive
Excellent food and excellent vibes,en,positive
"The food was amazing, probably the best indonesian food I’ve eaten, and very reasonably priced. I would definitely recommend to try out, it was very worth it.",en,positive
"Everything great, we’ve already been here twice in three days and will be back for sure",en,positive
"makananan nya enak bgt, waiters nya ramah banget, service bintang 10, kesini hari selasa jadi ga terlalu ramai",en,positive
Spend more than 3 hours here. Betah banget karena suasananya tentram. Makanannya enak dan terjangkau. Saran saya tanya-tanya dulu terkait porsi makanannya karena seporsinya isi banyak dan bs dinikmati berdua,en,positive
Baru aja dari sini karena kunjungan industri .. tempat nya nyaman walaupun di tengah kota tidak bising .. banyak spot foto memorial khas jogja .. makanan enak ada kopi nyaa jugaa ..,id,positive
Came here because of The NY Times recommendation and so glad we did. It’s a bit hidden but worth the trip. The setting & atmosphere are a real experience.,en,positive
Resto yang menyuguhkan suasana tradisional jawa lengkap dengan sajian khas jawa priyayi.. Luar biasa 👍,id,positive
"Makanannya enak, tapi pelayanan nya sangat kurang, pesanan lambat di sajikan, banyak pesanan yg sudah di pesan tidak segera diberi tahu bahwa tidak tersedia, sehingga menunggu cukup lama. Pelayan berkali-kali menanyakan apa saja pesanan yg belum tersaji. Mohon maaf, semoga bisa di perbaiki kedepannya",id,neutral
Restoran di tengah Kota Yogyakarta menawarkan bermacam menu khas Jawa dan Western. Alternatif menarik untuk dicoba karena suasananya yang klasik dan homey,id,positive
Very nice place with delicious food and professional staff. I highly recomand this restaurant.,en,positive
"Rasanya masakannya enak, penyajiannya cepat dan tepat. Suasananya klasiknya terasa banget.",id,positive
Suka banget sama suasananya dan semua menunya. Pasti balik lagi nanti ❤️,id,positive
"best place to hold your event, whether for gathering or your happy moment. highly reccomended",en,positive
Good variety of food and done very well.,en,positive
"wide parking lot, available for cars. cozy room, nice service, good ambience. the food is good as well, it has nostalgic feeling",en,positive
"Nuansanya klasik, resto rumah joglo yang sangat terawat....bersih dan nyaman. Menu masakan khas jawa dengan rasa masakan enak...akan datang kembali",id,positive
"One of the most disappointing meals we had in Indonesia. We waited 40 minutes for the satay, only for it to be freezing cold. We asked the staff to heat it up, but after bringing it out again, it was still only partly warm. We asked the staff, and their only response was that it must still be frozen. So we couldn't eat any of it. The ""best"" part was the fried vegetables, which only tasted like microwaved frozen vegetables. In the end the staff was understanding which was nice, but please improve the quality of your food. This place has some good potential.",en,negative
"Ambiente is really nice and made with love to the Detail creating a exotic athmosphere. But is a Place for Tourists, the Food tastes plain and not really authentic. Maybe we were unlucky with the drinks, but those were unbelievably bad. The worst drinks since we entered Indonesia. It’s worth the visit maybe for pictures, but never for the food. Go to some warung instead and Taste how its supposed to Taste.",en,negative
"Terimakasih pelayanan bagus , bakwan enak ..enak enak selat solo siip",id,positive
"Makanan khas kota Solo. Pelayanan sangat ramah, makanannya enak, tempatnya nyaman 🙂👍",id,positive
"3 menu yang tidak zonk sama sekali, makaroni stoopnya enak banget, bistik lidah rekomen banget, satenya juga enak, empuk dagingnya",id,positive
"makanannyaa ala jawa gtuu dan rasanya enakk, suasananyaa adem,tenangg sekalii.",id,positive
Legendary Javanese and European fusion food My first time here and it's delicious Rice with beef tongue,en,positive
"Rasa enak, supnya kuahnya berasa, bistik galantin serta gado2 juga enak. Suasananya jg santai tidak bising",id,positive
"Alhamdulillah cocok dg rasa makanannya Yg saya pesan mangut lele, selat galantin, tahu isi. Pelayanan jg bagus sekali.",id,positive
"lumayan enak makanannya, tetapi beberapa makanan menurut saya porsinya terlalu kecil dari rata2 porsi menu spt itu dan harganya jg menurut saya tidak sebanding. mungkin bisa lebih disesuaikan lagi untuk porsi dan harganya..",id,neutral
"Makanan enak tapi pelayanan nya kurang cepat , kalo untuk pegawai nya ramah ramah tapi untuk makanannya keluarnya agak lama dan jedanya dari satu makanan ke makanan lain lumayan lama mohon di perhatikan lagi ya ,trims",id,negative
"Makanan lama banget ga dateng, sekalinya dateng malah dibilang abis jadi diganti, TANPA BILANG KE PELANGGAN terus malah nyalahin pelayan lain. Kesalahan pelayanan seharusnya dikomunikasikan juga ke Pelanggan bukan seenaknya ambil tindakan terhadap makanan pelanggan, seolah-olah pelanggan harus maklum.",id,negative
"Jangan kesana kl pas rame atau lapar,krn keluarnya lamaaaa skl, dan tdk di info kl akan lama. Saya akhirnya pulang pesanan sy bayar tp makanan diambil",id,neutral
